#{"t_start": 1761514378.3104384, "env_id": "MiniWorld-Maze-v0"}
r,l,t
30.49843,300,3.670845
32.549139,300,6.85036
40.827044,300,9.71836
51.653509,300,12.596655
67.261998,300,15.783106
49.367368,300,18.613617
37.896611,300,21.3617
28.53009,300,24.618159
17.644229,300,27.381673
65.218364,300,30.133674
24.532733,300,33.29619
25.514398,300,36.136663
36.28158,300,38.938181
30.722435,300,42.074702
34.431574,300,44.912702
30.976088,300,47.716472
28.779998,300,50.675703
35.126082,300,53.577215
36.315056,300,56.430415
41.585944,300,59.41993
44.593543,300,62.282443
26.132749,300,64.998443
31.667602,300,67.900962
24.287998,300,70.84396
24.799154,300,73.614473
36.317568,300,76.852661
34.765652,300,79.844174
110.10453,300,82.654688
46.727815,300,85.817093
29.349948,300,88.822611
41.13488,300,92.119611
45.265406,300,95.272125
40.362382,300,98.165644
34.228338,300,100.929644
46.531307,300,103.834158
37.772388,300,106.873427
39.840987,300,109.711943
40.018089,300,112.620944
37.554468,300,115.684069
37.664856,300,118.555584
42.236004,300,121.512874
37.437356,300,124.71639
39.671542,300,127.470599
49.098346,300,130.338629
109.680383,300,133.568538
32.844335,300,136.387965
18.056568,300,139.28807
30.156497,300,142.263071
30.9497,300,145.304808
30.300148,300,148.079809
15.254961,111,149.410331
35.189854,300,152.565329
37.77616,300,155.53436
33.704407,300,158.400728
32.698316,300,161.268241
41.71934,300,164.257758
32.802284,300,167.154758
103.506785,300,169.987273
43.049859,300,173.13327
41.453057,300,175.996784
16.015534,100,177.281784
25.636804,300,180.273619
6.733719,9,180.599623
42.717323,300,183.674768
34.092618,300,186.527282
23.837118,300,189.336281
21.19125,300,192.402802
26.309722,300,195.265547
34.304638,300,198.190552
34.734901,300,201.375063
14.274257,300,204.237064
39.067747,300,207.106577
22.523315,300,210.170566
34.301342,300,213.160566
36.958343,300,216.083572
35.503508,300,219.087018
36.540966,300,222.550529
35.711025,300,225.644045
37.428802,300,228.835045
28.992768,300,232.708565
39.962782,300,235.762088
39.055784,300,238.868294
38.006534,300,242.583267
41.302514,300,245.660768
32.393831,300,248.756598
19.663814,169,250.779114
49.747863,300,254.263137
34.150131,300,257.333633
40.391988,300,260.597633
39.832596,300,264.167688
30.128672,300,267.403182
40.234891,300,270.646182
35.25142,300,274.320699
40.989293,300,277.476223
39.589545,300,280.789784
43.481103,300,284.84603
30.861158,300,288.028047
37.846112,300,291.180266
29.832818,300,294.859783
41.004694,300,297.958084
35.165346,300,301.081958
35.316835,300,304.863833
18.676273,45,305.593611
33.419709,300,308.80213
31.923106,300,311.925809
35.492144,300,315.671809
129.648778,300,318.880066
14.616017,121,320.352593
39.540127,300,324.193371
34.721826,300,327.809137
42.167083,300,331.044927
42.266729,300,334.585206
24.896509,27,335.232841
38.824511,300,338.511383
